NacidoProvincia;Sexo;EstadoCivil;CantHijos;DomicilioPartido;DomicilioProvincia;ComisariaJurisdiccional;Departamental;PoseeLicenciaConducir;TituloSecundario;TipoOtroEstudio;ConoceComputacion;ConoceIngles;ConoceOtros;Edad
BUENOS AIRES;F;Soltera/o;0;PILAR;BUENOS AIRES;CRIA.AZUL 1RA;JEF.DEP.DE SEG.AZUL;NO;(BACHILLERATO);Terciario Completo;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;PERGAMINO;BUENOS AIRES;CRIA.PERGAMINO 1RA;JEF.DEP.DE SEG.PERGAMINO;NO;SECUNDARIO;No posee;NO;NO;NO;22
GREGORIO DE LAFERRERE;M;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA ESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;SI;BACHILLER CIENCIAS SOCIALES;No posee;NO;NO;SI;20
BUENOS AIRES;F;Soltera/o;0;ENSENADA;BUENOS AIRES;CRIA.LA PLATA 1RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO EN CIENCIAS NATURALES;Terciario Completo;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;2;3 DE FEBRERO;BUENOS AIRES;CRIA.TRES DE FEBRERO 9NA;JEF.DEP.DE SEG.SAN MARTIN;NO;BACHILLERATO EN CIENCIAS NATURALES;No posee;SI;SI;NO;25
BUENOS AIRES;M;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 2DA;JEF.DEP.DE SEG.MORENO;NO;BACHILLERATO EN ARTE Y MUSICA;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;2;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 4TA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER CON ORIENTACIÓN EN CIENCIAS SOCIALES ESPECIALISADO EN GESTIÓN DE POLÍTICAS PÚBLICAS;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 8VA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER CON ORIENTACIÓN EN TECNOLOGÍA;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 3RA;JEF.DEP.DE SEG.MORENO;NO;ANILITICO;No posee;SI;NO;NO;18
BUENOS AIRES;F;Soltera/o;2;MORENO;BUENOS AIRES;CRIA.MORENO 1RA;JEF.DEP.DE SEG.MORENO;NO;NINGUNO;No posee;NO;NO;NO;22
BUENOS AIRES;M;Soltera/o;0;CASTELLI;BUENOS AIRES;EST.POL.COM.CASTELLI;JEF.DEP.DE SEG.DOLORES;SI;BACHILLERATO EN ECONOMIA;No posee;SI;NO;NO;21
CHACO;M;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 11RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;1;SALLIQUELO;BUENOS AIRES;CRIA.SALLIQUELO;JEF.DEP.DE SEG.GUAMINI;NO;BACHILLER PARA ADULTOS CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN ESPECIALIZADO EN MICROEMPRENDIMIENTOS;Universitario Incompleto;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;0;GENERAL VILLEGAS;BUENOS AIRES;CRIA.TRENQUE LAUQUEN;JEF.DEP.DE SEG.TRENQUE LAUQ.;SI;BACHILLERATO ECONOMÍA Y ADMINISTRACIÓN;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;1;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 4TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLETATO EN ORIENTACION EN ECONOMIA.RESOLUCION 1° 302/12;Terciario Incompleto;NO;SI;NO;22
BUENOS AIRES;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 2DA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLERATO DE ADMINISTRACION DE EMPRESA Y ECONOMIA;No posee;SI;NO;NO;21
BUENOS AIRES;M;Concubinato;2;PILAR;BUENOS AIRES;CRIA.PILAR 1RA;JEF.DEP.DE SEG.PILAR;NO;BACHILLER;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;1;AYACUCHO;BUENOS AIRES;CRIA.TANDIL 1RA;JEF.DEP.DE SEG.TANDIL;NO;BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN;No posee;SI;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER CS SOCIALES;No posee;NO;NO;NO;23
BUENOS AIRES;M;Soltera/o;0;PERGAMINO;BUENOS AIRES;CRIA.PERGAMINO 1RA;JEF.DEP.DE SEG.PERGAMINO;NO;BACHILLER ORIENTADO EN COMUNICACIÓN;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;1;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 8VA;JEF.DEP.DE SEG.LA PLATA;NO;SECUNDARIO COMPLETO;Terciario Incompleto;NO;NO;NO;20
BUENOS AIRES;M;Soltera/o;0;VILLA GESELL;BUENOS AIRES;EST.POL.COM.VILLA GESELL 1RA;JEF.DEP.DE SEG.PINAMAR;SI;ORIENTACIÓN EN CIENCIAS SOCIALES;No posee;SI;SI;NO;19
BUENOS AIRES;F;Casada/o;2;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 2DA;JEF.DEP.DE SEG.QUILMES;NO;SECUNDARIO;No posee;NO;NO;NO;23
HURLINGHAM;F;Soltera/o;2;HURLINGHAM;BUENOS AIRES;CRIA.MORON 1RA;JEF.DEP.DE SEG.MORON;NO;BACHILLER;No posee;NO;NO;NO;21
BUENOS AIRES;M;Soltera/o;0;CARLOS CASARES;BUENOS AIRES;CRIA.CARLOS CASARES;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLERATO EN CIENCIAS NATURALES;No posee;SI;SI;SI;20
FLORENCIO VARELA;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 4TA;JEF.DEP.DE SEG.QUILMES;SI;CIENCIAS NATURALES;Universitario Incompleto;SI;SI;NO;20
BUENOS AIRES;F;Soltera/o;0;MAIPU;BUENOS AIRES;EST.POL.COM.MAIPU;JEF.DEP.DE SEG.DOLORES;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;SI;NO;21
BUENOS AIRES;M;Soltera/o;0;ADOLFO ALSINA;BUENOS AIRES;EST.POL.COM.ADOLFO ALSINA;JEF.DEP.DE SEG.GUAMINI;NO;BACHILLER EN COMUNICACIÓN;No posee;SI;SI;NO;19
BUENOS AIRES;M;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 1RA;JEF.DEP.DE SEG.MERLO;NO;BACHILLERATO EN SALUD Y AMBIENTE;No posee;SI;NO;NO;23
BUENO AIRES;M;Soltera/o;0;CORONEL DORREGO;BUENOS AIRES;CRIA.CORONEL DORREGO;JEF.DEP.DE SEG.TRES ARROYOS;SI;BACHILLER EN EDUCACION FISICA;No posee;SI;NO;NO;21
BUENOS AIRES;F;Soltera/o;2;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 3RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER CON ORIENTACION EN GESTION Y ADMINISTRACION;No posee;NO;NO;NO;26
BUENOS AIRES;M;Soltera/o;0;BAHIA BLANCA;BUENOS AIRES;CRIA.BAHIA BLANCA 1RA;JEF.DEP.DE SEG.BAHIA BLANCA;NO;ORIENTACION EN  CIENCIAS SOCIALES;No posee;SI;SI;NO;19
BUENOS AIRES;F;Soltera/o;1;CORONEL ROSALES;BUENOS AIRES;EST.POL.COM.CORONEL ROSALES;JEF.DEP.DE SEG.BAHIA BLANCA;SI;GESTION Y ADMINISTRACION DE EMPRESAS;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;0;SAN NICOLAS;BUENOS AIRES;CRIA.SAN NICOLAS 1RA;JEF.DEP.DE SEG.SAN NICOLAS;SI;TECNICO EN ADMINISTRACIÓN DE LAS ORGANIZACIONES;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;2;MERLO;BUENOS AIRES;CRIA.MERLO 4TA;JEF.DEP.DE SEG.MERLO;NO;SECUNDARIO;No posee;NO;NO;NO;26
BUENOS AIRES;F;Casada/o;3;GENERAL SAN MARTIN;BUENOS AIRES;CRIA.SAN MARTIN 1RA;JEF.DEP.DE SEG.SAN MARTIN;NO;GESTIÓN DE POLÍTICAS PÚBLICAS;No posee;SI;SI;NO;23
BUENOS AIRES;M;Soltera/o;0;DAIREAUX;BUENOS AIRES;EST.POL.COM.DAIREAUX;JEF.DEP.DE SEG.GUAMINI;NO;TECNICO ELECTROMECANICO;No posee;SI;NO;NO;26
BUENOS AIRES;F;Soltera/o;1;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 4TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER EN ECONOMÍA Y ADMINISTRACIÓN;Posgrado Completo;NO;NO;NO;25
BUENOS AIRES;M;Soltera/o;1;MORENO;BUENOS AIRES;CRIA.MORENO 1RA;JEF.DEP.DE SEG.MORENO;NO;ORIENTACIÓN EN CIENCIAS NATURALES;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;LANUS;BUENOS AIRES;CRIA.LANUS 4TA;JEF.DEP.DE SEG.LANUS;NO;BACHILLER CON ORIENTACIÓN ARTÍSTICA;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;1;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.LANUS 1RA;JEF.DEP.DE SEG.LANUS;NO;ECONOMÍA;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;1;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 9NA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER CIENCIA SOCIALES;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 11RA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;ORIENTACIÓN EN ARTES VISUALES;No posee;SI;SI;NO;19
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.QUILMES 1RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER EN CIENCIAS NATURALES;No posee;NO;NO;NO;20
BUENOS AIRES;M;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 1RA;JEF.DEP.DE SEG.MERLO;SI;BACHILLLER;No posee;SI;SI;NO;24
BUENOS AIRES;F;Soltera/o;1;TIGRE;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;ANALÍTICO;No posee;SI;SI;SI;24
BUENOS AIRES;F;Soltera/o;0;PERGAMINO;BUENOS AIRES;CRIA.PERGAMINO 3RA;JEF.DEP.DE SEG.PERGAMINO;SI;BACHILLER EN ECONÓMICA Y ADMINISTRACIÓN;No posee;SI;SI;NO;23
BUENOS AIRE;M;Soltera/o;0;QUILMES;BUENOS AIRES;CRIA.QUILMES 3RA;JEF.DEP.DE SEG.QUILMES;SI;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;SI;NO;24
VIEDMA;M;Soltera/o;0;PATAGONES;BUENOS AIRES;EST.POL.COM.C.DE PATAGONES;JEF.DEP.DE SEG.BAHIA BLANCA;NO;BACHILLER EN MUSICA;No posee;SI;SI;NO;20
BUENOS AIRES;M;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 5TA;JEF.DEP.DE SEG.ALTE.BROWN;SI;ESPECIALIZADO EN MICROEMPRENDIMIENTO;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;1;BERAZATEGUI;BUENOS AIRES;CRIA.LA PLATA 4TA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER EN CIENCIAS SOCIALES;Universitario Incompleto;SI;SI;NO;20
BUENOS AIRES;F;Soltera/o;0;BERAZATEGUI;BUENOS AIRES;CRIA.BERAZATEGUI 4TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLERATO EN CS SOCIALES;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;2;PEHUAJO;BUENOS AIRES;EST.POL.COM.PEHUAJO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLERATO EN GESTIÓN Y ADMINISTRACIÓN;No posee;SI;SI;NO;24
BUENOS AIRES;M;Soltera/o;0;ITUZAINGO;BUENOS AIRES;CRIA.MORON 3RA;JEF.DEP.DE SEG.MORON;SI;SECUNDARIO...AUXILIAR DE MECANICO,CONDUCCION OPERATIVA VEHICULAR;No posee;NO;NO;NO;26
BS AS;F;Soltera/o;1;BRAGADO;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;NO;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;1;LINCOLN;BUENOS AIRES;CRIA.LINCOLN;JEF.DEP.DE SEG.JUNIN;SI;BACHILLER CON ORIENTACIÓN EN TECNOLOGÍA;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;1;MORON;BUENOS AIRES;CRIA.MORON 1RA;JEF.DEP.DE SEG.MORON;NO;CIENCIAS SOCIALES;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;1;GENERAL LAMADRID;BUENOS AIRES;CRIA.TANDIL 1RA;JEF.DEP.DE SEG.TANDIL;SI;SECUNDARIO;No posee;NO;NO;NO;26
BUENOS AIRES;M;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 16TA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;SI;SI;NO;18
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.QUILMES 4TA;JEF.DEP.DE SEG.QUILMES;NO;TERMINANDO ULTIMO AÑO;Terciario Completo;NO;NO;NO;19
BS.AS;M;Soltera/o;1;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 4TA;JEF.DEP.DE SEG.LA PLATA;SI;BACHILLER;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;TAPALQUE;BUENOS AIRES;EST.POL.COM.TAPALQUE;JEF.DEP.DE SEG.AZUL;NO;BACHILLER ORIENTADO EN ECONOMÍA Y ADMINISTRACIÓN;No posee;NO;NO;NO;19
SANTA FE;F;Soltera/o;0;SAN JAVIER;SANTA FE;CRIA.25 DE MAYO 2DA;JEF.DEP.DE SEG.25 DE MAYO;NO;CIENCIAS SOCIALES;No posee;NO;NO;NO;19
BUENO AIRES;F;Soltera/o;0;LANUS;BUENOS AIRES;CRIA.AVELLANEDA 5TA;JEF.DEP.DE SEG.LANUS;NO;BACHILLER PARA ADULTOS CON ORIENTACION EN GESTION Y ADMINISTRACIÓN;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 5TA;JEF.DEP.DE SEG.QUILMES;NO;EN CIENCIAS SOCIALES;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;SAN NICOLAS;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;SI;SECUNDARIO;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 14TA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO DE ECONOMIA CONTABLET;No posee;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;MARCOS PAZ;BUENOS AIRES;EST.POL.COM.MARCOS PAZ;JEF.DEP.DE SEG.MERLO;NO;BACHILLER EN CS.SOCIALES;No posee;NO;NO;NO;20
CORRIENTES;M;Soltera/o;0;AZUL;BUENOS AIRES;CRIA.AZUL 1RA;JEF.DEP.DE SEG.AZUL;SI;BACHILLER, ORIENTACIÓN EN CIENCIAS SOCIALES ESPECIALIZADO EN ECONOMÍA Y SOCIEDAD;No posee;SI;NO;NO;25
BUENOS AIRES;M;Soltera/o;1;TRES LOMAS;BUENOS AIRES;CRIA.TRES LOMAS;JEF.DEP.DE SEG.GUAMINI;NO;ADMINISTRACION Y GESTION DE MICROEMPRENDIMIENTOS;Universitario Incompleto;SI;SI;NO;26
BUENOS AIRES;F;Soltera/o;1;TANDIL;BUENOS AIRES;CRIA.TANDIL 1RA;JEF.DEP.DE SEG.TANDIL;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;SI;SI;25
BUENOS AIRES;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLERATO;Terciario Incompleto;NO;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;TRENQUE LAUQUEN;BUENOS AIRES;CRIA.TRENQUE LAUQUEN;JEF.DEP.DE SEG.TRENQUE LAUQ.;SI;SECUNDARIO;No posee;SI;NO;NO;24
BUENOS AIRES;M;Soltera/o;1;JOSE C.PAZ;BUENOS AIRES;CRIA.JOSE C.PAZ 1RA;JEF.DEP.DE SEG.PILAR;SI;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;SI;NO;26
BUENOS AIRES;M;Soltera/o;2;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;SI;SECUNDARIO;No posee;NO;NO;SI;26
BUENOS AIRES;F;Soltera/o;0;ARRECIFES;BUENOS AIRES;CRIA.ARRECIFES;JEF.DEP.DE SEG.PERGAMINO;NO;BACHILLER EN COMUNICACION;No posee;NO;NO;NO;21
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 1RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER EN ECONOMIA Y ADMINISTRACION;No posee;NO;NO;NO;21
BUENOS AIRES;M;Soltera/o;0;PILAR;BUENOS AIRES;CRIA.PILAR 1RA;JEF.DEP.DE SEG.PILAR;NO;BACHILLERATO EN CIENCIAS NATURALES;No posee;SI;SI;SI;21
BUENOS AIRES;F;Soltera/o;0;SAN MIGUEL;BUENOS AIRES;CRIA.SAN MIGUEL 2DA;JEF.DEP.DE SEG.PILAR;NO;SECUNDARIO COMPLETO;No posee;SI;SI;NO;21
SAN VICENTE;F;Soltera/o;1;SAN VICENTE;BUENOS AIRES;CRIA.SAN VICENTE 1RA;JEF.DEP.DE SEG.SAN VICENTE;SI;BACHILLER EN ECONOMÍA AY ADMINISTRACIÓN;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;1;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 5TA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO DE ADULTOS;No posee;NO;NO;NO;25
BS.AS;M;Soltera/o;1;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA ESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;SI;No posee;SI;SI;NO;20
BUENOS AIRES;F;Soltera/o;0;BERAZATEGUI;BUENOS AIRES;CRIA.BERAZATEGUI 4TA;JEF.DEP.DE SEG.QUILMES;NO;TITULO DE CONTABILIDAD Y ORIENTACION GESTION LABORAL;No posee;NO;NO;NO;23
MISIONES;M;Soltera/o;0;TIGRE;BUENOS AIRES;SUBCRIA.DELTA;JEF.DEP.DE SEG.CONURBANO NORTE;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;NO;SI;26
BUENOS AIRES;F;Soltera/o;2;BERAZATEGUI;BUENOS AIRES;CRIA.BERAZATEGUI 2DA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLERATO EN CONTABILIDAD Y ADMINISTRACIÓN DE EMPRESAS;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;ESTEBAN ECHEVERRIA;BUENOS AIRES;EST.POL.COM.CORONEL SUAREZ;JEF.DEP.DE SEG.CNEL.SUAREZ;SI;SEGUNDARIO COMOLETO;No posee;SI;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;BERISSO;BUENOS AIRES;CRIA.BERISSO 3RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;NO;SI;NO;19
BUENOS AIRES;F;Soltera/o;1;GENERAL PAZ;BUENOS AIRES;EST.POL.COM.GENERAL PAZ;JEF.DEP.DE SEG.SAN VICENTE;NO;BACHILLERATO EN ECONOMÍA Y GESTIÓN;No posee;SI;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;GENERAL ARENALES;BUENOS AIRES;SUBESTACION ARRIBEÑOS;JEF.DEP.DE SEG.JUNIN;SI;BACHILLER EN ECONOMÍA Y ADMINISTRACIÓN;No posee;SI;SI;NO;22
BUENOS AIRES;M;Soltera/o;0;AVELLANEDA;BUENOS AIRES;CRIA.AVELLANEDA 1RA;JEF.DEP.DE SEG.LANUS;SI;BACHILLER CON ORIENTACIÓN EN CIENCIAS SOCIALES;No posee;SI;SI;NO;24
BUENOS AIRES;F;Soltera/o;0;BERISSO;BUENOS AIRES;CRIA.LA PLATA 5TA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;21
CORRIENTES;M;Soltera/o;0;EZEIZA;BUENOS AIRES;CRIA.LOMAS DE ZAMORA 1RA;JEF.DEP.DE SEG.LANUS;NO;ADMINISTRACIÓN;No posee;NO;NO;NO;21
BUENOS AIRES;F;Soltera/o;0;BRAGADO;BUENOS AIRES;EST.POL.COM.BRAGADO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLER CON ORIENTACIÓN EN CIENCIAS SOCIALES;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;GENERAL ALVARADO;BUENOS AIRES;EST.POL.COM.MIRAMAR;JEF.DEP.DE SEG.MAR DEL PLATA;NO;ADMINISTRACIÓN Y ORGANIZACIÓN DE CONSORCIO Y DERECHOS;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;0;SAN NICOLAS;BUENOS AIRES;CRIA.SAN NICOLAS 1RA;JEF.DEP.DE SEG.SAN NICOLAS;NO;ARTE Y LITERATURA;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 16TA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER CS.SOCIALES;No posee;NO;NO;NO;19
BUENOS AIRES;M;Soltera/o;1;MORENO;BUENOS AIRES;CRIA.MORENO 2DA;JEF.DEP.DE SEG.MORENO;SI;BACHILLER CIENCIAS SOCIALES;No posee;NO;NO;NO;25
BUENOS AIRES;M;Soltera/o;0;PILAR;BUENOS AIRES;CRIA.PILAR 3RA;JEF.DEP.DE SEG.PILAR;NO;CARRERA SOCIALES;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;0;PERGAMINO;BUENOS AIRES;CRIA.PERGAMINO 2DA;JEF.DEP.DE SEG.PERGAMINO;NO;BACHILLER ORIENTACIÓN EN TECNOLOGÍA;No posee;SI;NO;NO;19
BUENOS AIRES;F;Soltera/o;1;MORENO;BUENOS AIRES;CRIA.MORENO 2DA;JEF.DEP.DE SEG.MORENO;NO;BACHILLER EN CIENCIAS POLÍTICAS;No posee;NO;NO;NO;21
BUENOS AIRES;F;Casada/o;0;QUILMES;BUENOS AIRES;CRIA.QUILMES 7MA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLERATO EN BIENES Y SERVICIO;No posee;NO;NO;NO;25
BUENOS AIRES;M;Soltera/o;1;BAHIA BLANCA;BUENOS AIRES;CRIA.BAHIA BLANCA 4TA;JEF.DEP.DE SEG.BAHIA BLANCA;SI;BACHILLER MODALIDAD ECONOMÍA Y GESTIÓN DE LAS ORGANIZACIONES;No posee;SI;NO;SI;26
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.FLORENCIO VARELA 1RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 4TA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;1;TRENQUE LAUQUEN;BUENOS AIRES;CRIA.TRENQUE LAUQUEN;JEF.DEP.DE SEG.TRENQUE LAUQ.;SI;SECUNDARIO;Terciario Incompleto;SI;SI;NO;25
CORRIENTES;F;Soltera/o;1;RAMALLO;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;SECUNDARIO COMPLETO;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;2;AZUL;BUENOS AIRES;CRIA.AZUL 1RA;JEF.DEP.DE SEG.AZUL;NO;ORIENTACIÓN CIENCIAS SOCIALES;No posee;SI;NO;NO;25
BUENOS AIRES;M;Soltera/o;0;GENERAL ALVARADO;BUENOS AIRES;EST.POL.COM.GRAL.ALVARADO;JEF.DEP.DE SEG.MAR DEL PLATA;SI;BACHILLER EN ORIENTACIÓN EN ARTE Y MÚSICA;Terciario Completo;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 1RA;JEF.DEP.DE SEG.MERLO;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;23
BUENOS AIRES;M;Soltera/o;1;BAHIA BLANCA;BUENOS AIRES;CRIA.BAHIA BLANCA 7MA.;JEF.DEP.DE SEG.BAHIA BLANCA;NO;BACHILLERATO EN ECONOMÍA Y ADMINISTRACIÓN;No posee;SI;SI;NO;24
BUENOS AIRES;F;Soltera/o;0;AZUL;BUENOS AIRES;SUBCRIA.CHILLAR;JEF.DEP.DE SEG.AZUL;NO;BACHILLER EN ECONOMIA Y ADMINISTRACION;Terciario Incompleto;NO;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 3RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;NO;NO;NO;21
BUENOS AIRES;M;Soltera/o;0;PERGAMINO;BUENOS AIRES;CRIA.PERGAMINO 1RA;JEF.DEP.DE SEG.PERGAMINO;NO;BACHILLER EN ECONOMIA;Terciario Incompleto;SI;SI;NO;24
BUENOS AIRES;F;Soltera/o;1;9 DE JULIO;BUENOS AIRES;EST.POL.COM.PEHUAJO;JEF.DEP.DE SEG.PEHUAJO;SI;TITULO DE SECUNDARIA CON BACHILLER ADMINISTRACION Y GESTION DE EMPRESA;No posee;SI;SI;NO;26
BUENOS AIRES;M;Concubinato;2;QUILMES;BUENOS AIRES;CRIA.QUILMES 3RA;JEF.DEP.DE SEG.QUILMES;NO;CIENCIAS SOCIALES;No posee;NO;NO;NO;25
